dayname,minutes_watched,date_watched,weekday,date_watched_m,date_watched_m_n,student_country
Monday,2.0,2022-04-11,0,4,April,IN
Friday,10.6,2022-04-08,4,4,April,US
Saturday,0.2,2022-04-09,5,4,April,US
Wednesday,0.1,2022-04-06,2,4,April,IN
Wednesday,10.5,2022-04-06,2,4,April,US
Wednesday,3.5,2022-04-06,2,4,April,IN
Wednesday,48.4,2022-04-06,2,4,April,IN
Thursday,5.9,2022-04-07,3,4,April,IN
Friday,0.3,2022-04-08,4,4,April,IN
Wednesday,0.8,2022-04-06,2,4,April,IN
Thursday,2.2,2022-09-08,3,9,September,IN
Tuesday,0.9,2022-10-11,1,10,October,IN
Wednesday,47.3,2022-04-06,2,4,April,IN
Wednesday,3.2,2022-04-06,2,4,April,IN
Wednesday,1.3,2022-04-06,2,4,April,IN
Wednesday,81.7,2022-04-06,2,4,April,NG
Friday,5.1,2022-04-22,4,4,April,NG
Monday,0.8,2022-04-18,0,4,April,NG
Thursday,34.3,2022-04-07,3,4,April,US
Wednesday,19.3,2022-04-06,2,4,April,US
Thursday,249.9,2022-04-07,3,4,April,US
Friday,40.5,2022-04-08,4,4,April,US
Tuesday,44.6,2022-04-12,1,4,April,US
Monday,36.5,2022-05-09,0,5,May,US
Wednesday,118.3,2022-04-06,2,4,April,US
Wednesday,17.5,2022-04-13,2,4,April,US
Friday,1.7,2022-05-13,4,5,May,US
Friday,4.6,2022-05-06,4,5,May,US
Wednesday,2.5,2022-04-06,2,4,April,US
Wednesday,0.8,2022-04-06,2,4,April,IN
Wednesday,15.0,2022-04-20,2,4,April,US
Saturday,54.5,2022-08-06,5,8,August,US
Sunday,4.5,2022-08-07,6,8,August,US
Thursday,0.1,2022-09-22,3,9,September,US
Friday,2.0,2022-10-07,4,10,October,US
Thursday,8.8,2022-04-07,3,4,April,US
Thursday,11.8,2022-04-14,3,4,April,US
Sunday,24.5,2022-04-17,6,4,April,US
Wednesday,6.8,2022-04-06,2,4,April,IN
Thursday,15.7,2022-04-07,3,4,April,IN
Wednesday,0.5,2022-06-01,2,6,June,EG
Friday,2.3,2022-06-17,4,6,June,IN
Saturday,1.4,2022-06-18,5,6,June,IN
Monday,19.5,2022-06-20,0,6,June,IN
Tuesday,44.8,2022-06-21,1,6,June,IN
Wednesday,61.9,2022-06-22,2,6,June,IN
Thursday,2.8,2022-06-23,3,6,June,IN
Sunday,8.3,2022-06-26,6,6,June,IN
Monday,56.1,2022-06-27,0,6,June,IN
Saturday,1.3,2022-06-25,5,6,June,IN
Tuesday,4.2,2022-06-28,1,6,June,IN
Thursday,2.5,2022-06-30,3,6,June,IN
Monday,7.0,2022-07-18,0,7,July,IN
Thursday,37.1,2022-07-21,3,7,July,IN
Saturday,4.7,2022-07-23,5,7,July,IN
Sunday,0.4,2022-07-24,6,7,July,IN
Sunday,0.1,2022-08-21,6,8,August,IN
Thursday,0.8,2022-09-01,3,9,September,IN
Monday,0.4,2022-07-11,0,7,July,IN
Sunday,64.9,2022-07-03,6,7,July,IN
Tuesday,24.0,2022-07-26,1,7,July,IN
Saturday,45.2,2022-07-02,5,7,July,IN
Wednesday,37.7,2022-06-29,2,6,June,IN
Friday,0.3,2022-09-09,4,9,September,IN
Monday,21.8,2022-07-04,0,7,July,IN
Tuesday,35.1,2022-07-05,1,7,July,IN
Wednesday,3.9,2022-07-06,2,7,July,IN
Thursday,0.4,2022-07-07,3,7,July,IN
Wednesday,2.6,2022-07-27,2,7,July,IN
Saturday,0.1,2022-07-09,5,7,July,IN
Wednesday,1.1,2022-07-13,2,7,July,IN
Friday,0.7,2022-08-26,4,8,August,IN
Wednesday,18.2,2022-04-06,2,4,April,US
Wednesday,40.7,2022-04-06,2,4,April,NG
Thursday,0.5,2022-04-07,3,4,April,NG
Thursday,15.2,2022-04-21,3,4,April,US
Tuesday,20.0,2022-04-19,1,4,April,US
Wednesday,9.7,2022-04-20,2,4,April,US
Wednesday,0.2,2022-04-06,2,4,April,US
Thursday,19.8,2022-04-07,3,4,April,US
Friday,25.3,2022-04-08,4,4,April,NG
Thursday,2.4,2022-04-07,3,4,April,NG
Thursday,40.4,2022-08-18,3,8,August,US
Friday,46.2,2022-08-19,4,8,August,US
Friday,3.6,2022-04-08,4,4,April,US
Monday,0.7,2022-05-02,0,5,May,US
Tuesday,15.9,2022-06-07,1,6,June,US
Wednesday,44.7,2022-06-08,2,6,June,US
Monday,54.6,2022-06-27,0,6,June,US
Tuesday,123.3,2022-05-03,1,5,May,US
Thursday,23.6,2022-05-12,3,5,May,US
Thursday,26.6,2022-05-19,3,5,May,US
Thursday,115.5,2022-06-02,3,6,June,US
Monday,25.3,2022-06-06,0,6,June,US
Thursday,2.9,2022-04-07,3,4,April,US
Thursday,35.5,2022-04-14,3,4,April,US
Wednesday,3.7,2022-05-04,2,5,May,US
Thursday,45.8,2022-04-07,3,4,April,US
Thursday,56.9,2022-04-07,3,4,April,US
Friday,39.4,2022-04-08,4,4,April,US
Wednesday,70.8,2022-04-13,2,4,April,US
Thursday,76.0,2022-04-07,3,4,April,US
Friday,9.6,2022-04-08,4,4,April,US
Thursday,38.5,2022-04-14,3,4,April,US
Thursday,0.3,2022-04-07,3,4,April,US
Thursday,6.6,2022-04-07,3,4,April,IN
Wednesday,0.2,2022-10-05,2,10,October,IN
Thursday,11.6,2022-04-07,3,4,April,IN
Monday,0.4,2022-05-23,0,5,May,IN
Thursday,0.5,2022-04-07,3,4,April,IN
Thursday,3.5,2022-04-07,3,4,April,IN
Thursday,0.8,2022-04-07,3,4,April,GB
Monday,2.6,2022-09-05,0,9,September,IN
Tuesday,9.7,2022-09-06,1,9,September,IN
Thursday,4.1,2022-09-08,3,9,September,IN
Sunday,19.8,2022-09-11,6,9,September,IN
Sunday,13.7,2022-10-02,6,10,October,IN
Monday,7.7,2022-10-03,0,10,October,IN
Friday,1.0,2022-10-14,4,10,October,IN
Saturday,2.7,2022-10-15,5,10,October,IN
Friday,57.6,2022-05-27,4,5,May,IN
Saturday,3.9,2022-05-28,5,5,May,IN
Sunday,20.9,2022-05-29,6,5,May,IN
Wednesday,9.4,2022-06-01,2,6,June,IN
Monday,22.1,2022-06-06,0,6,June,IN
Tuesday,2.6,2022-06-07,1,6,June,IN
Tuesday,7.3,2022-06-14,1,6,June,IN
Saturday,16.3,2022-06-18,5,6,June,IN
Sunday,31.5,2022-06-26,6,6,June,IN
Sunday,8.4,2022-06-19,6,6,June,IN
Saturday,19.2,2022-07-16,5,7,July,IN
Sunday,21.5,2022-07-17,6,7,July,IN
Monday,5.5,2022-07-18,0,7,July,IN
Sunday,35.8,2022-07-24,6,7,July,IN
Tuesday,11.4,2022-07-19,1,7,July,IN
Saturday,39.3,2022-06-25,5,6,June,IN
Monday,15.1,2022-06-27,0,6,June,IN
Wednesday,8.0,2022-06-29,2,6,June,IN
Thursday,1.7,2022-06-30,3,6,June,IN
Sunday,2.2,2022-07-10,6,7,July,IN
Thursday,5.9,2022-07-21,3,7,July,IN
Monday,16.7,2022-07-25,0,7,July,IN
Sunday,1.6,2022-05-22,6,5,May,IN
Thursday,12.8,2022-05-26,3,5,May,IN
Friday,34.2,2022-04-08,4,4,April,NG
Monday,3.9,2022-04-11,0,4,April,NG
Monday,3.2,2022-04-18,0,4,April,NG
Thursday,7.6,2022-04-07,3,4,April,NG
Thursday,11.3,2022-04-07,3,4,April,US
Thursday,0.9,2022-04-07,3,4,April,IN
Thursday,7.3,2022-04-07,3,4,April,IN
Friday,8.0,2022-04-08,4,4,April,IN
Saturday,11.3,2022-04-09,5,4,April,IN
Thursday,2.1,2022-04-14,3,4,April,IN
Wednesday,5.5,2022-08-31,2,8,August,US
Friday,18.5,2022-09-02,4,9,September,US
Saturday,31.7,2022-09-03,5,9,September,US
Tuesday,9.2,2022-09-06,1,9,September,US
Saturday,50.9,2022-04-16,5,4,April,US
Saturday,49.8,2022-04-23,5,4,April,US
Sunday,86.4,2022-04-24,6,4,April,US
Thursday,50.8,2022-04-14,3,4,April,US
Friday,32.7,2022-07-08,4,7,July,US
Tuesday,8.4,2022-06-21,1,6,June,US
Wednesday,8.3,2022-06-22,2,6,June,US
Friday,4.6,2022-06-24,4,6,June,US
Monday,3.9,2022-10-17,0,10,October,US
Friday,26.9,2022-04-22,4,4,April,US
Monday,28.0,2022-05-02,0,5,May,US
Sunday,11.6,2022-08-28,6,8,August,US
Saturday,9.8,2022-07-09,5,7,July,US
Monday,93.0,2022-07-11,0,7,July,US
Sunday,3.3,2022-07-10,6,7,July,US
Thursday,0.1,2022-07-14,3,7,July,US
Thursday,28.9,2022-04-07,3,4,April,US
Saturday,4.1,2022-04-09,5,4,April,US
Friday,24.2,2022-06-10,4,6,June,US
Thursday,57.3,2022-04-07,3,4,April,US
Friday,180.9,2022-04-08,4,4,April,US
Saturday,94.0,2022-04-09,5,4,April,US
Sunday,25.7,2022-04-10,6,4,April,US
Monday,15.5,2022-04-11,0,4,April,US
Tuesday,53.1,2022-04-12,1,4,April,US
Sunday,5.9,2022-04-17,6,4,April,US
Thursday,22.3,2022-04-07,3,4,April,EG
Friday,1.0,2022-04-08,4,4,April,EG
Friday,2.0,2022-09-30,4,9,September,EG
Thursday,23.2,2022-04-07,3,4,April,US
Thursday,0.2,2022-04-21,3,4,April,US
Friday,9.2,2022-04-22,4,4,April,US
Tuesday,7.8,2022-04-12,1,4,April,US
Monday,89.5,2022-05-23,0,5,May,US
Monday,1.5,2022-06-06,0,6,June,US
Wednesday,8.8,2022-05-25,2,5,May,US
Friday,0.1,2022-05-27,4,5,May,US
Thursday,0.7,2022-04-07,3,4,April,IN
Thursday,5.0,2022-04-07,3,4,April,US
Thursday,25.5,2022-04-07,3,4,April,GB
Thursday,58.9,2022-04-07,3,4,April,US
Monday,14.8,2022-04-11,0,4,April,US
Thursday,14.5,2022-04-21,3,4,April,US
Friday,63.4,2022-04-29,4,4,April,US
Monday,64.0,2022-04-11,0,4,April,US
Tuesday,26.2,2022-06-07,1,6,June,US
Tuesday,25.2,2022-04-12,1,4,April,US
Wednesday,4.3,2022-06-15,2,6,June,US
Thursday,8.6,2022-06-23,3,6,June,US
Thursday,30.6,2022-04-07,3,4,April,US
Sunday,3.3,2022-04-10,6,4,April,US
Friday,2.1,2022-05-13,4,5,May,US
Friday,0.1,2022-08-19,4,8,August,US
Wednesday,14.4,2022-05-11,2,5,May,US
Monday,17.6,2022-09-12,0,9,September,US
Monday,4.0,2022-09-26,0,9,September,US
Sunday,12.7,2022-10-16,6,10,October,US
Monday,1.0,2022-04-11,0,4,April,US
Friday,13.5,2022-08-12,4,8,August,US
Saturday,14.1,2022-08-13,5,8,August,US
Thursday,52.6,2022-05-12,3,5,May,US
Monday,0.6,2022-08-15,0,8,August,US
Monday,6.9,2022-10-17,0,10,October,US
Tuesday,1.6,2022-10-18,1,10,October,US
Wednesday,9.5,2022-10-19,2,10,October,US
Thursday,38.7,2022-05-05,3,5,May,US
Saturday,10.3,2022-05-07,5,5,May,US
Sunday,19.0,2022-05-08,6,5,May,US
Monday,20.5,2022-05-16,0,5,May,US
Thursday,1.1,2022-06-02,3,6,June,US
Monday,5.5,2022-08-01,0,8,August,US
Tuesday,57.4,2022-08-02,1,8,August,US
Sunday,7.8,2022-08-07,6,8,August,US
Monday,1.6,2022-05-09,0,5,May,US
Sunday,0.3,2022-09-11,6,9,September,US
Friday,2.7,2022-07-15,4,7,July,US
Tuesday,2.7,2022-05-17,1,5,May,US
Saturday,3.7,2022-04-09,5,4,April,US
Friday,7.1,2022-08-05,4,8,August,US
Thursday,4.0,2022-05-26,3,5,May,US
Friday,10.5,2022-04-15,4,4,April,US
Thursday,1.0,2022-04-07,3,4,April,US
Thursday,2.0,2022-04-07,3,4,April,IN
Wednesday,146.5,2022-04-27,2,4,April,US
Tuesday,3.3,2022-05-03,1,5,May,US
Wednesday,52.2,2022-05-11,2,5,May,US
Friday,0.6,2022-06-24,4,6,June,US
Friday,15.7,2022-04-08,4,4,April,US
Thursday,73.2,2022-04-14,3,4,April,US
Friday,51.6,2022-04-15,4,4,April,US
Friday,0.4,2022-04-08,4,4,April,US
Friday,18.2,2022-04-08,4,4,April,US
Friday,46.6,2022-05-20,4,5,May,US
Thursday,26.6,2022-04-14,3,4,April,US
Saturday,27.4,2022-04-16,5,4,April,US
Friday,2.7,2022-04-08,4,4,April,US
Sunday,7.3,2022-04-17,6,4,April,US
Monday,0.9,2022-04-11,0,4,April,US
Monday,9.9,2022-04-18,0,4,April,US
Wednesday,62.9,2022-04-20,2,4,April,US
Tuesday,0.7,2022-04-19,1,4,April,US
Tuesday,5.5,2022-04-12,1,4,April,US
Friday,5.5,2022-04-08,4,4,April,IN
Friday,28.9,2022-04-08,4,4,April,US
Friday,57.2,2022-04-08,4,4,April,US
Saturday,10.0,2022-04-09,5,4,April,US
Sunday,59.5,2022-04-10,6,4,April,US
Friday,64.9,2022-04-15,4,4,April,US
Monday,70.5,2022-07-25,0,7,July,US
Saturday,18.2,2022-08-06,5,8,August,US
Wednesday,8.4,2022-08-17,2,8,August,US
Sunday,75.7,2022-08-07,6,8,August,US
Thursday,16.6,2022-08-18,3,8,August,US
Friday,63.0,2022-08-19,4,8,August,US
Sunday,4.5,2022-08-28,6,8,August,US
Monday,25.9,2022-04-11,0,4,April,US
Tuesday,63.2,2022-04-12,1,4,April,US
Wednesday,16.2,2022-04-13,2,4,April,US
Thursday,86.2,2022-04-14,3,4,April,US
Saturday,47.6,2022-04-16,5,4,April,US
Sunday,14.5,2022-04-17,6,4,April,US
Monday,77.4,2022-04-18,0,4,April,US
Tuesday,25.8,2022-04-19,1,4,April,US
Monday,2.8,2022-04-11,0,4,April,GB
Friday,3.8,2022-04-08,4,4,April,IN
Friday,19.9,2022-04-08,4,4,April,IN
Saturday,0.2,2022-04-09,5,4,April,IN
Saturday,0.4,2022-05-21,5,5,May,IN
Friday,4.2,2022-04-08,4,4,April,IN
Friday,0.2,2022-04-08,4,4,April,EG
Sunday,2.2,2022-05-29,6,5,May,EG
Friday,6.3,2022-04-08,4,4,April,US
Friday,1.6,2022-04-08,4,4,April,IN
Friday,0.4,2022-04-08,4,4,April,IN
Tuesday,1.1,2022-04-12,1,4,April,IN
Thursday,3.5,2022-04-14,3,4,April,IN
Friday,25.5,2022-04-08,4,4,April,IN
Saturday,39.2,2022-04-09,5,4,April,IN
Sunday,6.7,2022-04-10,6,4,April,IN
Saturday,79.3,2022-04-09,5,4,April,IN
Monday,16.4,2022-04-11,0,4,April,IN
Friday,27.2,2022-04-08,4,4,April,IN
Monday,22.8,2022-04-11,0,4,April,NG
Friday,32.6,2022-04-08,4,4,April,NG
Wednesday,1.8,2022-04-13,2,4,April,EG
Tuesday,42.1,2022-04-12,1,4,April,US
Thursday,3.9,2022-04-14,3,4,April,US
Friday,17.2,2022-04-15,4,4,April,US
Saturday,13.8,2022-04-16,5,4,April,US
Sunday,118.2,2022-04-17,6,4,April,US
Thursday,4.9,2022-05-05,3,5,May,US
Tuesday,6.7,2022-04-26,1,4,April,US
Friday,3.9,2022-04-08,4,4,April,US
Wednesday,3.5,2022-04-13,2,4,April,US
Thursday,7.1,2022-08-25,3,8,August,US
Friday,7.7,2022-04-08,4,4,April,IN
Monday,49.7,2022-08-01,0,8,August,GB
Tuesday,16.4,2022-08-02,1,8,August,GB
Thursday,7.8,2022-08-04,3,8,August,GB
Friday,69.6,2022-04-08,4,4,April,GB
Saturday,18.4,2022-04-09,5,4,April,GB
Tuesday,6.9,2022-04-12,1,4,April,GB
Monday,0.5,2022-08-22,0,8,August,GB
Monday,16.1,2022-04-18,0,4,April,GB
Friday,10.8,2022-04-08,4,4,April,NG
Friday,17.1,2022-04-08,4,4,April,US
Friday,0.4,2022-04-08,4,4,April,IN
Friday,7.2,2022-04-08,4,4,April,NG
Saturday,35.7,2022-04-09,5,4,April,GB
Sunday,63.2,2022-04-10,6,4,April,GB
Sunday,6.0,2022-05-01,6,5,May,GB
Friday,56.0,2022-05-06,4,5,May,GB
Saturday,0.5,2022-05-07,5,5,May,GB
Thursday,10.0,2022-05-05,3,5,May,GB
Sunday,45.7,2022-05-08,6,5,May,GB
Monday,73.6,2022-05-09,0,5,May,GB
Sunday,7.1,2022-05-15,6,5,May,GB
Monday,3.5,2022-05-16,0,5,May,GB
Saturday,5.6,2022-05-21,5,5,May,GB
Friday,33.8,2022-04-08,4,4,April,GB
Sunday,0.2,2022-05-22,6,5,May,GB
Tuesday,6.4,2022-05-24,1,5,May,GB
Wednesday,6.5,2022-05-25,2,5,May,GB
Saturday,3.9,2022-06-04,5,6,June,GB
Wednesday,6.2,2022-06-08,2,6,June,GB
Monday,1.2,2022-04-25,0,4,April,NG
Tuesday,3.7,2022-04-26,1,4,April,NG
Friday,26.4,2022-04-08,4,4,April,NG
Tuesday,4.9,2022-04-19,1,4,April,GB
Saturday,13.8,2022-04-09,5,4,April,GB
Monday,33.0,2022-04-11,0,4,April,GB
Wednesday,7.1,2022-04-13,2,4,April,GB
Sunday,37.4,2022-04-10,6,4,April,GB
Friday,15.5,2022-04-08,4,4,April,GB
Friday,1.2,2022-04-08,4,4,April,EG
Friday,6.0,2022-04-08,4,4,April,GB
Monday,72.1,2022-05-23,0,5,May,IN
Sunday,0.4,2022-04-10,6,4,April,IN
Friday,6.2,2022-04-08,4,4,April,NG
Friday,0.1,2022-04-08,4,4,April,US
Friday,23.0,2022-04-08,4,4,April,US
Friday,20.1,2022-04-08,4,4,April,US
Monday,0.6,2022-04-18,0,4,April,US
Friday,36.1,2022-04-08,4,4,April,US
Sunday,10.5,2022-04-10,6,4,April,US
Saturday,98.6,2022-04-16,5,4,April,US
Monday,34.1,2022-06-20,0,6,June,US
Sunday,59.4,2022-04-17,6,4,April,US
Saturday,2.7,2022-05-07,5,5,May,US
Saturday,4.2,2022-06-11,5,6,June,US
Sunday,3.7,2022-06-19,6,6,June,US
Friday,4.5,2022-04-08,4,4,April,US
Friday,17.1,2022-04-15,4,4,April,EG
Saturday,7.1,2022-04-16,5,4,April,EG
Saturday,22.8,2022-04-09,5,4,April,EG
Monday,10.1,2022-04-11,0,4,April,EG
Saturday,58.3,2022-04-09,5,4,April,EG
Sunday,4.6,2022-04-10,6,4,April,EG
Saturday,8.3,2022-04-09,5,4,April,EG
Saturday,1.2,2022-04-09,5,4,April,US
Saturday,13.2,2022-04-09,5,4,April,IN
Saturday,0.4,2022-04-09,5,4,April,IN
Sunday,2.5,2022-04-10,6,4,April,IN
Saturday,1.2,2022-04-09,5,4,April,IN
Saturday,50.1,2022-04-09,5,4,April,IN
Sunday,32.9,2022-04-10,6,4,April,IN
Monday,103.7,2022-04-18,0,4,April,IN
Friday,4.8,2022-07-29,4,7,July,IN
Monday,12.4,2022-08-01,0,8,August,IN
Wednesday,10.3,2022-08-03,2,8,August,IN
Friday,49.7,2022-08-05,4,8,August,IN
Monday,1.9,2022-08-08,0,8,August,IN
Monday,13.4,2022-10-03,0,10,October,IN
Tuesday,23.6,2022-10-04,1,10,October,IN
Friday,54.0,2022-10-07,4,10,October,IN
Wednesday,0.1,2022-10-05,2,10,October,IN
Saturday,6.0,2022-10-08,5,10,October,IN
Sunday,112.1,2022-10-09,6,10,October,IN
Monday,74.1,2022-10-10,0,10,October,IN
Tuesday,54.3,2022-10-11,1,10,October,IN
Wednesday,22.0,2022-10-12,2,10,October,IN
Thursday,34.1,2022-10-13,3,10,October,IN
Tuesday,6.5,2022-10-18,1,10,October,IN
Wednesday,55.2,2022-04-20,2,4,April,IN
Thursday,18.7,2022-04-21,3,4,April,IN
Friday,26.7,2022-04-22,4,4,April,IN
Saturday,17.0,2022-04-23,5,4,April,IN
Monday,3.4,2022-04-25,0,4,April,IN
Wednesday,37.9,2022-04-27,2,4,April,IN
Thursday,17.2,2022-04-28,3,4,April,IN
Monday,17.3,2022-05-02,0,5,May,IN
Thursday,28.8,2022-05-05,3,5,May,IN
Sunday,11.9,2022-05-08,6,5,May,IN
Monday,25.1,2022-05-16,0,5,May,IN
Thursday,2.0,2022-07-28,3,7,July,IN
Wednesday,0.2,2022-05-18,2,5,May,IN
Monday,8.5,2022-06-27,0,6,June,IN
Tuesday,33.2,2022-07-26,1,7,July,IN
Wednesday,1.8,2022-07-27,2,7,July,IN
Tuesday,81.8,2022-04-19,1,4,April,IN
Monday,21.7,2022-05-30,0,5,May,GB
Tuesday,15.9,2022-05-31,1,5,May,GB
Friday,4.3,2022-06-03,4,6,June,GB
Thursday,7.8,2022-06-02,3,6,June,GB
Saturday,28.9,2022-04-09,5,4,April,GB
Saturday,4.8,2022-04-09,5,4,April,IN
Tuesday,41.2,2022-04-12,1,4,April,GB
Wednesday,7.1,2022-04-13,2,4,April,GB
Saturday,13.9,2022-04-23,5,4,April,GB
Thursday,13.7,2022-04-28,3,4,April,GB
Friday,16.6,2022-06-03,4,6,June,GB
Monday,31.0,2022-06-06,0,6,June,GB
Wednesday,9.4,2022-06-08,2,6,June,GB
Thursday,25.8,2022-04-21,3,4,April,GB
Saturday,21.5,2022-04-09,5,4,April,GB
Sunday,18.4,2022-04-10,6,4,April,GB
Saturday,0.2,2022-04-09,5,4,April,NG
Sunday,81.1,2022-05-29,6,5,May,IN
Friday,14.4,2022-09-09,4,9,September,IN
Thursday,27.3,2022-05-19,3,5,May,IN
Friday,6.5,2022-05-27,4,5,May,IN
Saturday,78.5,2022-05-28,5,5,May,IN
Monday,21.0,2022-05-30,0,5,May,IN
Wednesday,29.7,2022-08-24,2,8,August,IN
Thursday,21.9,2022-08-25,3,8,August,IN
Friday,31.6,2022-08-26,4,8,August,IN
Saturday,6.4,2022-08-27,5,8,August,IN
Sunday,5.8,2022-08-28,6,8,August,IN
Thursday,50.4,2022-08-11,3,8,August,IN
Saturday,0.3,2022-04-09,5,4,April,IN
Saturday,18.3,2022-04-09,5,4,April,NG
Saturday,6.4,2022-04-09,5,4,April,GB
Monday,20.5,2022-04-18,0,4,April,NG
Sunday,25.4,2022-04-17,6,4,April,NG
Saturday,0.4,2022-04-09,5,4,April,US
Saturday,26.7,2022-04-09,5,4,April,IN
Sunday,0.3,2022-05-15,6,5,May,IN
Monday,28.2,2022-05-16,0,5,May,IN
Monday,2.2,2022-08-08,0,8,August,IN
Saturday,0.1,2022-08-13,5,8,August,IN
Monday,12.8,2022-08-15,0,8,August,IN
Tuesday,48.3,2022-08-16,1,8,August,IN
Wednesday,71.0,2022-08-17,2,8,August,IN
Thursday,36.2,2022-07-28,3,7,July,US
Saturday,67.1,2022-10-08,5,10,October,US
Saturday,36.5,2022-10-15,5,10,October,US
Wednesday,4.8,2022-07-20,2,7,July,US
Sunday,0.1,2022-10-16,6,10,October,US
Sunday,61.0,2022-04-10,6,4,April,US
Monday,16.4,2022-04-11,0,4,April,US
Saturday,85.0,2022-04-16,5,4,April,US
Friday,17.5,2022-06-24,4,6,June,US
Saturday,73.8,2022-06-25,5,6,June,US
Sunday,39.2,2022-04-17,6,4,April,US
Sunday,109.8,2022-06-26,6,6,June,US
Monday,204.5,2022-07-04,0,7,July,US
Monday,109.8,2022-06-27,0,6,June,US
Sunday,77.9,2022-07-03,6,7,July,US
Saturday,6.4,2022-04-09,5,4,April,US
Thursday,3.7,2022-04-14,3,4,April,US
Sunday,1.2,2022-04-10,6,4,April,US
Wednesday,12.3,2022-04-13,2,4,April,US
Thursday,7.7,2022-04-14,3,4,April,US
Sunday,22.3,2022-04-10,6,4,April,US
Monday,7.5,2022-04-11,0,4,April,US
Wednesday,10.1,2022-04-13,2,4,April,US
Tuesday,21.9,2022-05-17,1,5,May,US
Friday,13.8,2022-04-15,4,4,April,US
Wednesday,10.5,2022-05-18,2,5,May,US
Thursday,31.4,2022-05-19,3,5,May,US
Sunday,0.4,2022-05-22,6,5,May,US
Friday,5.1,2022-05-20,4,5,May,US
Sunday,16.7,2022-04-10,6,4,April,US
Monday,0.1,2022-04-11,0,4,April,US
Tuesday,13.1,2022-04-12,1,4,April,US
Sunday,0.3,2022-04-10,6,4,April,EG
Sunday,0.6,2022-04-10,6,4,April,IN
Sunday,34.1,2022-04-10,6,4,April,IN
Sunday,1.4,2022-04-10,6,4,April,IN
Sunday,2.2,2022-04-10,6,4,April,EG
Thursday,0.1,2022-05-19,3,5,May,IN
Sunday,0.1,2022-04-10,6,4,April,IN
Sunday,54.9,2022-04-10,6,4,April,IN
Sunday,0.4,2022-04-10,6,4,April,IN
Monday,29.8,2022-06-13,0,6,June,IN
Sunday,2.4,2022-04-10,6,4,April,EG
Wednesday,53.9,2022-04-20,2,4,April,US
Friday,1.3,2022-04-22,4,4,April,EG
Monday,8.3,2022-04-11,0,4,April,NG
Friday,32.8,2022-04-15,4,4,April,NG
Sunday,15.4,2022-04-10,6,4,April,IN
Sunday,18.8,2022-04-10,6,4,April,US
Friday,0.4,2022-04-15,4,4,April,IN
Sunday,1.2,2022-04-17,6,4,April,IN
Monday,0.1,2022-04-18,0,4,April,IN
Sunday,4.4,2022-04-10,6,4,April,IN
Sunday,21.0,2022-04-10,6,4,April,EG
Thursday,1.1,2022-05-19,3,5,May,EG
Saturday,0.6,2022-05-21,5,5,May,EG
Thursday,3.8,2022-05-12,3,5,May,EG
Friday,0.2,2022-05-13,4,5,May,EG
Tuesday,10.8,2022-04-12,1,4,April,EG
Friday,1.3,2022-05-06,4,5,May,EG
Thursday,0.3,2022-06-23,3,6,June,EG
Monday,33.1,2022-04-11,0,4,April,GB
Sunday,11.0,2022-04-10,6,4,April,GB
Sunday,12.5,2022-04-10,6,4,April,IN
Monday,31.7,2022-04-11,0,4,April,IN
Tuesday,3.7,2022-04-12,1,4,April,IN
Monday,5.0,2022-04-18,0,4,April,US
Thursday,2.4,2022-09-01,3,9,September,US
Sunday,2.6,2022-04-10,6,4,April,IN
Tuesday,0.2,2022-04-12,1,4,April,IN
Sunday,0.5,2022-04-10,6,4,April,US
Sunday,6.6,2022-04-10,6,4,April,IN
Sunday,17.9,2022-04-10,6,4,April,IN
Sunday,65.3,2022-04-10,6,4,April,IN
Monday,133.7,2022-04-11,0,4,April,GB
Thursday,50.2,2022-04-14,3,4,April,GB
Tuesday,4.7,2022-04-12,1,4,April,GB
Wednesday,35.8,2022-04-27,2,4,April,GB
Saturday,31.0,2022-05-07,5,5,May,GB
Monday,1.5,2022-04-11,0,4,April,US
Sunday,2.4,2022-04-10,6,4,April,IN
Sunday,4.7,2022-04-10,6,4,April,US
Monday,16.6,2022-04-11,0,4,April,US
Tuesday,39.5,2022-04-12,1,4,April,NG
Sunday,1.2,2022-04-10,6,4,April,NG
Monday,3.7,2022-04-11,0,4,April,GB
Monday,3.5,2022-04-11,0,4,April,US
Tuesday,6.6,2022-04-12,1,4,April,NG
Wednesday,2.2,2022-04-13,2,4,April,NG
Monday,10.0,2022-05-02,0,5,May,NG
Saturday,13.9,2022-05-07,5,5,May,NG
Thursday,0.6,2022-05-19,3,5,May,NG
Monday,2.6,2022-05-30,0,5,May,NG
Monday,0.1,2022-04-11,0,4,April,NG
Thursday,87.1,2022-04-14,3,4,April,IN
Monday,2.9,2022-04-11,0,4,April,NG
Monday,49.9,2022-04-11,0,4,April,NG
Saturday,3.9,2022-04-23,5,4,April,NG
Monday,14.2,2022-04-11,0,4,April,IN
Tuesday,52.8,2022-04-12,1,4,April,IN
Monday,7.1,2022-04-18,0,4,April,IN
Wednesday,7.9,2022-04-20,2,4,April,IN
Thursday,0.1,2022-04-21,3,4,April,IN
Wednesday,8.2,2022-04-20,2,4,April,IN
Monday,3.4,2022-04-11,0,4,April,IN
Tuesday,20.3,2022-04-12,1,4,April,GB
Monday,20.0,2022-04-11,0,4,April,GB
Monday,0.1,2022-04-11,0,4,April,US
Saturday,2.4,2022-09-24,5,9,September,IN
